Date,FF,1Y,2Y,5Y,10Y,20Y
Sep-00,6.52,6.13,6.08,5.93,5.8,6.09
Oct-00,6.51,6.01,5.91,5.78,5.74,6.04
Nov-00,6.51,6.09,5.88,5.7,5.72,5.98
Dec-00,6.4,5.6,5.35,5.17,5.24,5.64
1-Jan,5.98,4.81,4.76,4.86,5.16,5.65
1-Feb,5.49,4.68,4.66,4.89,5.1,5.62
1-Mar,5.31,4.3,4.34,4.64,4.89,5.49
1-Apr,4.8,3.98,4.23,4.76,5.14,5.78
1-May,4.21,3.78,4.26,4.93,5.39,5.92
1-Jun,3.97,3.58,4.08,4.81,5.28,5.82
1-Jul,3.77,3.62,4.04,4.76,5.24,5.75
1-Aug,3.65,3.47,3.76,4.57,4.97,5.58
1-Sep,3.07,2.82,3.12,4.12,4.73,5.53
1-Oct,2.49,2.33,2.73,3.91,4.57,5.34
1-Nov,2.09,2.18,2.78,3.97,4.65,5.33
1-Dec,1.82,2.22,3.11,4.39,5.09,5.76
2-Jan,1.73,2.16,3.03,4.34,5.04,5.69
2-Feb,1.74,2.23,3.02,4.3,4.91,5.61
2-Mar,1.73,2.57,3.56,4.74,5.28,5.93
2-Apr,1.75,2.48,3.42,4.65,5.21,5.85
2-May,1.75,2.35,3.26,4.49,5.16,5.81
2-Jun,1.75,2.2,2.99,4.19,4.93,5.65
2-Jul,1.73,1.96,2.56,3.81,4.65,5.51
2-Aug,1.74,1.76,2.13,3.29,4.26,5.19
2-Sep,1.75,1.72,2,2.94,3.87,4.87
2-Oct,1.75,1.65,1.91,2.95,3.94,5
2-Nov,1.34,1.49,1.92,3.05,4.05,5.04
2-Dec,1.24,1.45,1.84,3.03,4.03,5.01
3-Jan,1.24,1.36,1.74,3.05,4.05,5.02
3-Feb,1.26,1.3,1.63,2.9,3.9,4.87
3-Mar,1.25,1.24,1.57,2.78,3.81,4.82
3-Apr,1.26,1.27,1.62,2.93,3.96,4.91
3-May,1.26,1.18,1.42,2.52,3.57,4.52
3-Jun,1.22,1.01,1.23,2.27,3.33,4.34
3-Jul,1.01,1.12,1.47,2.87,3.98,4.92
3-Aug,1.03,1.31,1.86,3.37,4.45,5.39
3-Sep,1.01,1.24,1.71,3.18,4.27,5.21
3-Oct,1.01,1.25,1.75,3.19,4.29,5.21
3-Nov,1,1.34,1.93,3.29,4.3,5.17
3-Dec,0.98,1.31,1.91,3.27,4.27,5.11
4-Jan,1,1.24,1.76,3.12,4.15,5.01
4-Feb,1.01,1.24,1.74,3.07,4.08,4.94
4-Mar,1,1.19,1.58,2.79,3.83,4.72
4-Apr,1,1.43,2.07,3.39,4.35,5.16
4-May,1,1.78,2.53,3.85,4.72,5.46
4-Jun,1.03,2.12,2.76,3.93,4.73,5.45
4-Jul,1.26,2.1,2.64,3.69,4.5,5.24
4-Aug,1.43,2.02,2.51,3.47,4.28,5.07
4-Sep,1.61,2.12,2.53,3.36,4.13,4.89
4-Oct,1.76,2.23,2.58,3.35,4.1,4.85
4-Nov,1.93,2.5,2.85,3.53,4.19,4.89
4-Dec,2.16,2.67,3.01,3.6,4.23,4.88
5-Jan,2.28,2.86,3.22,3.71,4.22,4.77
5-Feb,2.5,3.03,3.38,3.77,4.17,4.61
5-Mar,2.63,3.3,3.73,4.17,4.5,4.89
5-Apr,2.79,3.32,3.65,4,4.34,4.75
5-May,3,3.33,3.64,3.85,4.14,4.56
5-Jun,3.04,3.36,3.64,3.77,4,4.35
5-Jul,3.26,3.64,3.87,3.98,4.18,4.48
5-Aug,3.5,3.87,4.04,4.12,4.26,4.53
5-Sep,3.62,3.85,3.95,4.01,4.2,4.51
5-Oct,3.78,4.18,4.27,4.33,4.46,4.74
5-Nov,4,4.33,4.42,4.45,4.54,4.83
5-Dec,4.16,4.35,4.4,4.39,4.47,4.73
6-Jan,4.29,4.45,4.4,4.35,4.42,4.65
6-Feb,4.49,4.68,4.67,4.57,4.57,4.73
6-Mar,4.59,4.77,4.73,4.72,4.72,4.91
6-Apr,4.79,4.9,4.89,4.9,4.99,5.22
6-May,4.94,5,4.97,5,5.11,5.35
6-Jun,4.99,5.16,5.12,5.07,5.11,5.29
6-Jul,5.24,5.22,5.12,5.04,5.09,5.25
6-Aug,5.25,5.08,4.9,4.82,4.88,5.08
6-Sep,5.25,4.97,4.77,4.67,4.72,4.93
6-Oct,5.25,5.01,4.8,4.69,4.73,4.94
6-Nov,5.25,5.01,4.74,4.58,4.6,4.78
6-Dec,5.24,4.94,4.67,4.53,4.56,4.78
7-Jan,5.25,5.06,4.88,4.75,4.76,4.95
7-Feb,5.26,5.05,4.85,4.71,4.72,4.93
7-Mar,5.26,4.92,4.57,4.48,4.56,4.81
7-Apr,5.25,4.93,4.67,4.59,4.69,4.95
7-May,5.25,4.91,4.77,4.67,4.75,4.98
7-Jun,5.25,4.96,4.98,5.03,5.1,5.29
7-Jul,5.26,4.96,4.82,4.88,5,5.19
7-Aug,5.02,4.47,4.31,4.43,4.67,5
7-Sep,4.94,4.14,4.01,4.2,4.52,4.84
7-Oct,4.76,4.1,3.97,4.2,4.53,4.83
7-Nov,4.49,3.5,3.34,3.67,4.15,4.56
7-Dec,4.24,3.26,3.12,3.49,4.1,4.57
8-Jan,3.94,2.71,2.48,2.98,3.74,4.35
8-Feb,2.98,2.05,1.97,2.78,3.74,4.49
8-Mar,2.61,1.54,1.62,2.48,3.51,4.36
8-Apr,2.28,1.74,2.05,2.84,3.68,4.44
8-May,1.98,2.06,2.45,3.15,3.88,4.6
8-Jun,2,2.42,2.77,3.49,4.1,4.74
8-Jul,2.01,2.28,2.57,3.3,4.01,4.62
8-Aug,2,2.18,2.42,3.14,3.89,4.53
8-Sep,1.81,1.91,2.08,2.88,3.69,4.32
8-Oct,0.97,1.42,1.61,2.73,3.81,4.45
8-Nov,0.39,1.07,1.21,2.29,3.53,4.27
8-Dec,0.16,0.49,0.82,1.52,2.42,3.18
9-Jan,0.15,0.44,0.81,1.6,2.52,3.46
9-Feb,0.22,0.62,0.98,1.87,2.87,3.83
9-Mar,0.18,0.64,0.93,1.82,2.82,3.78
9-Apr,0.15,0.55,0.93,1.86,2.93,3.84
9-May,0.18,0.5,0.93,2.13,3.29,4.22
9-Jun,0.21,0.51,1.18,2.71,3.72,4.51
9-Jul,0.16,0.48,1.02,2.46,3.56,4.38
9-Aug,0.16,0.46,1.12,2.57,3.59,4.33
9-Sep,0.15,0.4,0.96,2.37,3.4,4.14
9-Oct,0.12,0.37,0.95,2.33,3.39,4.16
